"","pairs","Winner","varfd","varty","vartur","varrushes","varrushyd","varrushtd","varpasscom","varpassatt","varpasstd","varpassint","vartotfum","varfumlost","varpenalties","varpenyds"
"62",62,"minnesota",0.210526315789474,0.419047619047619,0,0.328358208955224,0.412213740458015,0.666666666666667,0.461538461538462,0,2,0,NA,NA,1,1.33333333333333
"63",63,"nebraska",0.583333333333333,0.257336343115124,0.666666666666667,1.17948717948718,1.31806615776081,1.2,0.736842105263158,0.733333333333333,1,2,0.666666666666667,2,0.153846153846154,0.382978723404255
"64",64,"washington",0.204081632653061,0.429319371727749,2,0.378378378378378,1.72327044025157,0.857142857142857,0.122448979591837,0.136986301369863,2,NA,0.666666666666667,2,0.222222222222222,0.105263157894737
"65",65,"virginia-tech",0.105263157894737,0.0602928509905254,2,0.0975609756097561,0.293453724604966,0.222222222222222,0.16,0.146341463414634,1,2,0,2,0.181818181818182,0.0952380952380952
"66",66,"duke",0.357142857142857,0.217788861180382,0,0.021505376344086,0.291858678955453,0.4,0.488888888888889,0.260869565217391,1,0.4,2,2,0.333333333333333,0.121739130434783
"67",67,"marshall",0.461538461538462,0.584717607973422,0,0.216216216216216,0.295302013422819,2,0.787878787878788,0.716981132075472,2,0,NA,NA,0.285714285714286,0.571428571428571
"68",68,"washington-state",0.555555555555556,0.104683195592287,1,0.181818181818182,0.358490566037736,2,0.521739130434783,0.494117647058824,0.666666666666667,2,0,0,0.571428571428571,0.5
"69",69,"western-michigan",0,0.324170616113744,0.666666666666667,0.447761194029851,0.841309823677582,1.2,0.311111111111111,0.363636363636364,0.4,0,0.666666666666667,2,0.571428571428571,0.431372549019608
"70",70,"san-diego-state",0.378378378378378,0.185365853658537,2,0.476190476190476,0.915492957746479,0.666666666666667,0.714285714285714,0.883720930232558,2,2,NA,NA,0.857142857142857,1.12056737588652
"71",71,"georgia-southern",0.536585365853659,0.383928571428571,2,0.804123711340206,1.1830985915493,1.5,1.15789473684211,1.23809523809524,1,NA,0,2,0.333333333333333,0.269230769230769
"72",72,"boise-state",1.33333333333333,1.80786026200873,0.4,0.604651162790698,1.9290780141844,2,1.22222222222222,0.622950819672131,2,2,1,1,0.461538461538462,0.736842105263158
"73",73,"toledo",0.153846153846154,0.25974025974026,2,0,0.409638554216867,0.666666666666667,0.13953488372093,0.366197183098592,2,2,0,NA,0.769230769230769,0.709677419354839
"74",74,"akron",0.256410256410256,0.264615384615385,1,0.366197183098592,0.268398268398268,2,0.604651162790698,0.4,1,0,2,2,0.461538461538462,0.553191489361702
"75",75,"western-kentucky",0.0363636363636364,0.0248138957816377,2,0.307692307692308,0.630385487528345,0,0.723404255319149,0.3,0.4,2,2,NA,0,0.0150375939849624
"76",76,"san-jose-state",0.580645161290323,0.212765957446809,0,0.918918918918919,1.58181818181818,2,0.333333333333333,0.416666666666667,0.666666666666667,0,0.4,NA,0.181818181818182,0.413223140495868
"77",77,"appalachian-state",0.461538461538462,0.443490701001431,0,0.305882352941176,0.95609756097561,0.666666666666667,0.142857142857143,0.109090909090909,2,0.666666666666667,0,0.666666666666667,0.25,0.0606060606060606
"78",78,"utah",0.444444444444444,0.648370497427101,2,0.611111111111111,0.558375634517767,0.4,0.941176470588235,1.11111111111111,2,2,2,2,0.153846153846154,0.338461538461538
"79",79,"arizona",0.272727272727273,0.00989119683481701,0.4,0.732673267326733,0.588235294117647,0,0.260869565217391,0.0869565217391304,0.666666666666667,1,0,2,0.666666666666667,1.09774436090226
"80",80,"louisiana-tech",0.122448979591837,0.720792079207921,2,0.08,0.25615763546798,0,0.536585365853659,0.26865671641791,2,2,1,2,0.166666666666667,0.342205323193916
"81",81,"ohio-state",0.333333333333333,0.145563310069791,1.2,0.595744680851064,0.766355140186916,2,0.4,0.491803278688525,0.666666666666667,0,1,2,0.666666666666667,0.867924528301887
"82",82,"toledo",0.4,0.144697720515362,0.666666666666667,0.494117647058824,1.3953488372093,2,0.0909090909090909,0.137931034482759,2,2,0,2,0,0.0930232558139535
"83",83,"florida",0.723404255319149,0.450285714285714,0,0.263157894736842,0.425992779783394,2,0.893617021276596,0.833333333333333,0,0.666666666666667,0,0.666666666666667,0.181818181818182,0.133333333333333
"84",84,"oklahoma-state",0,0.247030878859857,0,0.648648648648649,0.403162055335968,0,0.325581395348837,0.388059701492537,0.666666666666667,0,0,0,0,0.333333333333333
"85",85,"ucla",0.511627906976744,0.23444976076555,0.666666666666667,0.197183098591549,1.65745856353591,0.666666666666667,0.883720930232558,0.684931506849315,0.666666666666667,2,0,0,0.857142857142857,1.06586826347305
"86",86,"tennessee",0.16,0.090702947845805,0.666666666666667,0.372093023255814,0.148007590132827,0.666666666666667,0.125,0.339622641509434,0,0,2,2,0,0.391304347826087
"87",87,"houston",0.196078431372549,0.079144385026738,NA,0.0246913580246914,0.0683371298405467,0.4,0.181818181818182,0.360655737704918,1,NA,NA,NA,0.571428571428571,0.777777777777778
